,track_name,artist_name,release_date,id_track,genero
0,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2022-07-06,2tTmW7RDtMQtBk7m2rYeSw,pop
1,La Bachata,Manuel Turizo,2022-05-26,5ww2BF9slyYgNOk37BlC4u,pop
2,Quién Diría,DePol,2022-04-08,0Fd3900xH77g0ARXQjtYvV,pop
3,Las Cosas Pequeñitas,Marta Santos,2022-04-22,5LU8Lk8uSCdMgBaqcTujmi,pop
4,Sin Vergüenza,"Arde Bogotá, Dani Fernández",2022-07-07,0mJ2qmDI2X4wrSIIBrvvpN,pop
5,Feliz Cumpleaños Ferxxo,Feid,2022-09-14,2CeKVsFFXG4QzA415QygGb,pop
6,Que nada nos pare (lo más importante),"ELYELLA, La La Love You",2022-06-30,1FG7ZjnuT0O9CsDKOxND0E,pop
7,El Bien,Viva Suecia,2022-10-06,6IuZFiKCeyQINqL0Id3xF2,pop
8,Normal,Feid,2022-09-14,0T2pB7P1VdXPhLdQZ488uH,pop
9,Hey Mor,"Ozuna, Feid",2022-10-07,1zsPaEkglFvxjAhrM8yhpr,pop
10,Qué Bonita,DePol,2022-11-25,31TmMW92lP0UoxtAaF89hU,pop
11,I'm Good (Blue),"David Guetta, Bebe Rexha",2022-08-26,4uUG5RXrOk84mYEfFvj3cK,pop
12,As It Was,Harry Styles,2022-05-20,4Dvkj6JhhA12EX05fT7y2e,pop
13,Fuera del mercado,Danny Ocean,2022-02-17,1UdzJEpgJxtuXAlCOvD4S0,pop
14,mariposas,"sangiovanni, Aitana",2022-06-02,5R2hNuiiwnKVAUNktF9j2Y,pop
15,SI ELLA SUPIERA,"India Martinez, Melendi",2022-12-02,0quM3iWAOKw9OGIMBsppSC,pop
16,La Bachata,Marta Santos,2022-09-22,46dmazd1o2QIs1DfjyyTx5,pop
17,No Hemos Aprendido Nada,Viva Suecia,2022-10-06,23EYaP0VXowC6oT9DiY3QR,pop
18,CHORRITO PA LAS ANIMAS,Feid,2022-12-02,0CYTGMBYkwUxrj1MWDLrC5,pop
19,Ferxxo 100,Feid,2022-09-14,1sbNEFiURUYfy024cJX8JG,pop
